Vuosi,Am.T.,A.T&T,U.S.S.,G.M.,A.T. & Sfe,C.C.,Bdn,Frstn.,S.S.
1938,-0.305,-0.173,-0.318,-0.477,-0.457,-0.065,-0.319,-0.400,-0.435
1938,0.513,0.098,0.285,0.714,0.107,0.238,0.076,0.336,0.238
1939,0.055,0.200,-0.047,0.165,-0.424,-0.078,0.381,-0.093,-0.295
1940,-0.126,0.030,0.104,-0.043,-0.189,-0.077,-0.051,-0.090,-0.036
1941,-0.280,-0.183,-0.171,-0.277,0.637,-0.187,0.087,-0.194,-0.240
1942,-0.003,0.067,-0.039,0.476,0.865,0.156,0.262,1.113,0.126
1943,0.428,0.300,0.149,0.225,0.313,0.351,0.341,0.580,0.639
1944,0.192,0.103,0.260,0.290,0.637,0.233,0.227,0.473,0.282
1945,0.446,0.216,0.419,0.216,0.373,0.349,0.352,0.229,0.578
1946,-0.088,-0.046,-0.078,-0.272,-0.037,-0.209,0.153,-0.126,0.289
1947,-0.127,-0.071,0.169,0.144,0.026,0.355,-0.099,0.009,0.184
1948,-0.015,0.056,-0.035,0.107,0.153,-0.231,0.038,0.000,0.114
1949,0.305,0.038,0.133,0.321,0.067,0.246,0.273,0.223,-0.222
1950,-0.096,0.089,0.732,0.305,0.579,-0.248,0.091,0.650,0.327
1951,0.016,0.090,0.021,0.195,0.040,-0.064,0.054,-0.131,0.333
1952,0.128,0.083,0.131,0.390,0.434,0.079,0.109,0.175,0.062
1953,-0.010,0.035,0.006,-0.072,-0.027,0.067,0.210,-0.084,-0.048
1954,0.154,0.176,0.908,0.715,0.469,0.077,0.112,0.756,0.185
